font,codepoint,name,source,n_wedges,confidence,doubtful_wedges,mean_wedge_confidence,rare_orientation_wedges,off_ink_tails,clamped_wedges,scale,in_font_per_metadata
Assurbanipal,0x12243,NAGA OPPOSING NAGA,model,15,0.0004,5,0.4441,1,0,0,1.0,True
Assurbanipal,0x12270,NUNUZ AB2 TIMES DUG,model,18,0.0022,5,0.4672,0,1,0,1.0,True
Assurbanipal,0x12278,NUNUZ KISIM5 TIMES BI,model,15,0.0048,5,0.3494,2,0,0,1.0,True
Assurbanipal,0x122aa,SAL LAGAB TIMES ASH2,model,12,0.0004,5,0.3952,1,3,0,1.0,True
Assurbanipal,0x122c1,SHESH2 & SUHUR,model,18,0.002,5,0.4614,1,1,0,1.0,True
Assurbanipal,0x122c7,SHIM TIMES A,model,12,0.0,5,0.3788,1,1,0,1.0,True
Assurbanipal,0x122c8,SHIM TIMES BAL,model,16,0.0,5,0.4119,1,0,0,1.0,True
Assurbanipal,0x122c9,SHIM TIMES BULUG,model,16,0.0,5,0.4258,1,0,1,1.0,True
Assurbanipal,0x122ce,SHIM TIMES KUSHU2,model,15,0.0,5,0.3991,2,0,0,1.0,True
Assurbanipal,0x122d1,SHIM TIMES SAL,model,13,0.0,5,0.3349,1,1,0,1.0,True
Assurbanipal,0x122de,SIG4,model,11,0.0,5,0.3376,1,0,0,1.0,True
Assurbanipal,0x1235f,ZA SQUARED TIMES KUR,model,10,0.0001,5,0.3531,0,2,0,1.0,True
Assurbanipal,0x12383,,model,15,0.0,5,0.4327,0,2,0,1.0,True
Assurbanipal,0x1238b,,model,15,0.0009,5,0.4346,0,1,0,1.0,True
Esagil,0x12029,ALAN,model,20,0.0042,5,0.4961,0,0,1,0.15625,True
Esagil,0x12054,BUR2,model,10,0.0007,5,0.3552,0,1,0,0.15655,True
Esagil,0x120ab,EZEN TIMES IGI GUNU,model,16,0.0001,5,0.4279,0,1,0,0.15627,True
Esagil,0x122d2,SHINIG,model,14,0.0044,5,0.4123,0,0,0,0.15638,True
Assurbanipal,0x12017,AB2 TIMES BALAG,model,11,0.0011,4,0.3697,0,2,0,1.0,True
Assurbanipal,0x12058,DAG KISIM5 TIMES AMAR,model,14,0.0044,4,0.4177,2,0,0,1.0,True
Assurbanipal,0x1205d,DAG KISIM5 TIMES GI,model,18,0.001,4,0.5705,1,0,0,1.0,True
Assurbanipal,0x1205e,DAG KISIM5 TIMES GIR2,model,17,0.0001,4,0.5831,3,0,0,1.0,True
Assurbanipal,0x12069,DAG KISIM5 TIMES PAP PLUS PAP,model,15,0.0,4,0.4497,2,1,0,1.0,True
Assurbanipal,0x120be,E2 TIMES A PLUS HA PLUS DA(sic!),model,14,0.0008,4,0.4878,0,0,0,1.0,True
Assurbanipal,0x120d6,GA2 TIMES IGI GUNU,model,12,0.0008,4,0.5073,0,1,0,1.0,True
Assurbanipal,0x12124,GUM TIMES SHE,model,9,0.0,4,0.3632,0,1,0,1.0,True
Assurbanipal,0x1213e,HUL2,model,9,0.0001,4,0.3808,1,1,0,1.0,True
Assurbanipal,0x12161,KA TIMES ESH2,model,13,0.0001,4,0.4287,0,1,0,1.0,True
Assurbanipal,0x1216a,KA TIMES GISH CROSSING GISH,model,13,0.0001,4,0.4294,2,2,0,1.0,True
Assurbanipal,0x121a3,KI TIMES UD,model,10,0.0003,4,0.4185,0,0,0,1.0,True
Assurbanipal,0x121a9,KISIM5 OVER KISIM5,model,8,0.0008,4,0.2868,2,0,0,1.0,True
Assurbanipal,0x121d9,LAGAB TIMES ME PLUS EN,model,11,0.0,4,0.4493,1,0,0,1.0,True
Assurbanipal,0x121df,LAGAB TIMES SHU2,model,6,0.0001,4,0.2375,1,3,0,1.0,True
Assurbanipal,0x121fe,LU2 TIMES AL,model,16,0.0009,4,0.5181,0,0,0,1.0,True
Assurbanipal,0x1220a,LU2 TIMES LAGAB,model,14,0.0011,4,0.4894,0,0,0,1.0,True
Assurbanipal,0x12210,LU2 TIMES TUG2,model,16,0.0005,4,0.4986,0,2,0,1.0,True
Assurbanipal,0x1224b,NE SHESHIG,model,11,0.004,4,0.4205,2,0,0,1.0,True
Assurbanipal,0x12251,NIM TIMES GAR PLUS GAN2 TENU,model,14,0.0044,4,0.4625,0,1,0,1.0,True
Assurbanipal,0x12271,NUNUZ AB2 TIMES GUD,model,16,0.0016,4,0.4334,0,0,0,1.0,True
Assurbanipal,0x122a4,SAG TIMES UM,model,14,0.0005,4,0.5034,0,0,0,1.0,True
Assurbanipal,0x122be,SHEG9,model,15,0.0006,4,0.5437,0,1,0,1.0,True
Assurbanipal,0x122cf,SHIM TIMES LUL,model,16,0.0001,4,0.4651,1,1,0,1.0,True
Assurbanipal,0x1230a,TUR OVER TUR ZA OVER ZA,model,19,0.0036,4,0.4639,0,0,0,1.0,True
Assurbanipal,0x1234e,URU TIMES URUDA,model,11,0.0001,4,0.4064,0,3,0,1.0,True
Assurbanipal,0x1235a,UZ3,model,9,0.0027,4,0.3624,0,0,0,1.0,True
Assurbanipal,0x12394,,model,15,0.0012,4,0.4918,0,2,0,1.0,True
Esagil,0x1205e,DAG KISIM5 TIMES GIR2,model,15,0.0046,4,0.4736,0,0,1,0.15658,True
Esagil,0x12066,DAG KISIM5 TIMES LU PLUS MASH2,model,24,0.0049,4,0.5218,0,0,0,0.15514,True
Esagil,0x1206f,DAR,model,8,0.0003,4,0.3248,0,1,1,0.15682,True
Esagil,0x120b5,GA,model,6,0.0028,4,0.1966,2,0,0,0.15686,True
Esagil,0x12126,GUR7,model,11,0.0,4,0.4521,1,1,0,0.15606,True
Esagil,0x12127,GURUN,model,7,0.0037,4,0.2645,1,0,0,0.15517,True
Esagil,0x1212f,HI TIMES ASH2,model,8,0.0004,4,0.3575,0,1,1,0.15674,True
Esagil,0x121a7,KISH,model,8,0.0008,4,0.3082,0,0,1,0.15598,True
Esagil,0x12246,NAM & ERIN2,model,10,0.0013,4,0.3797,0,0,3,0.15579,True
Esagil,0x12250,NIM TIMES GAN2 TENU,model,10,0.0031,4,0.4536,0,1,0,0.15655,True
Esagil,0x122c7,SHIM TIMES A,model,12,0.0005,4,0.4102,1,0,0,0.15603,True
Esagil,0x122eb,TA,model,7,0.0024,4,0.2566,2,0,1,0.15568,True
Esagil,0x1231d,UM,model,6,0.0001,4,0.2214,0,1,0,0.15609,True
Assurbanipal,0x12011,AB TIMES IMIN,model,13,0.0006,3,0.5205,0,0,0,1.0,True
Assurbanipal,0x12028,AL TIMES USH,model,12,0.0,3,0.5085,0,0,0,1.0,True
Assurbanipal,0x1203d,ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH,model,7,0.0002,3,0.3829,0,0,0,1.0,True
Assurbanipal,0x1206c,DAG KISIM5 TIMES U2 PLUS GIR2,model,23,0.0009,3,0.5618,0,0,0,1.0,True
Assurbanipal,0x12096,EL,model,8,0.0001,3,0.4443,1,1,0,1.0,True
Assurbanipal,0x1209e,EREN,model,18,0.0041,3,0.55,0,0,0,1.0,True
Assurbanipal,0x120b3,EZEN TIMES U2,model,16,0.0,3,0.5449,0,1,0,1.0,True
Assurbanipal,0x120de,GA2 TIMES ME PLUS EN,model,12,0.0003,3,0.4991,2,1,0,1.0,True
Assurbanipal,0x120e4,GA2 TIMES SAR,model,14,0.0014,3,0.5112,0,1,0,1.0,True
Assurbanipal,0x120f9,GAN2 OVER GAN2,model,12,0.0,3,0.534,0,0,0,1.0,True
Assurbanipal,0x12104,GI4,model,10,0.0015,3,0.4746,0,1,0,1.0,True
Assurbanipal,0x12107,GIDIM,model,12,0.0002,3,0.4636,1,0,0,1.0,True
Assurbanipal,0x12112,GISH CROSSING GISH,model,6,0.0027,3,0.2792,2,0,0,1.0,True
Assurbanipal,0x1214c,IL TIMES GAN2 TENU,model,15,0.002,3,0.4984,1,0,0,1.0,True
Assurbanipal,0x121b5,KUSHU2,model,6,0.0001,3,0.2922,2,1,0,1.0,True
Assurbanipal,0x121c1,LAGAB TIMES BI,model,8,0.0039,3,0.3558,2,1,0,1.0,True
Assurbanipal,0x121c8,LAGAB TIMES HA,model,9,0.0001,3,0.5425,0,0,0,1.0,True
Assurbanipal,0x121cb,LAGAB TIMES IGI GUNU,model,9,0.0001,3,0.5031,0,0,0,1.0,True
Assurbanipal,0x121cc,LAGAB TIMES IM,model,11,0.0021,3,0.439,0,0,0,1.0,True
Assurbanipal,0x121e4,LAGAB TIMES TE PLUS A PLUS SU PLUS NA,model,19,0.0,3,0.5618,0,0,0,1.0,True
Assurbanipal,0x12204,LU2 TIMES IM,model,17,0.0014,3,0.5778,0,0,0,1.0,True
Assurbanipal,0x12205,LU2 TIMES KAD2,model,14,0.0,3,0.5006,0,1,0,1.0,True
Assurbanipal,0x1222d,MU OVER MU,model,10,0.0006,3,0.4201,0,0,0,1.0,True
Assurbanipal,0x1223a,MUSH3 TIMES A,model,9,0.0003,3,0.4437,0,1,0,1.0,True
Assurbanipal,0x1223f,NA2,model,11,0.004,3,0.4284,0,1,0,1.0,True
Assurbanipal,0x12240,NAGA,model,12,0.0014,3,0.4635,0,0,0,1.0,True
Assurbanipal,0x1224a,NE TIMES UD,model,12,0.0025,3,0.5195,0,0,0,1.0,True
Assurbanipal,0x12253,NINDA2 TIMES AN,model,8,0.0016,3,0.4464,0,0,0,1.0,True
Assurbanipal,0x1226a,NUN OVER NUN,model,10,0.004,3,0.4908,0,0,0,1.0,True
Assurbanipal,0x12274,NUNUZ AB2 TIMES LA,model,17,0.001,3,0.5162,1,0,0,1.0,True
Assurbanipal,0x1229c,SAG TIMES LUM,model,14,0.0002,3,0.5087,0,0,0,1.0,True
Assurbanipal,0x1229f,SAG TIMES SAL,model,11,0.0021,3,0.4794,0,0,0,1.0,True
Assurbanipal,0x122c6,SHIM,model,9,0.0042,3,0.3581,1,0,0,1.0,True
Assurbanipal,0x122cc,SHIM TIMES IGI,model,12,0.0,3,0.4534,1,0,0,1.0,True
Assurbanipal,0x122cd,SHIM TIMES IGI GUNU,model,16,0.0,3,0.4662,2,0,0,1.0,True
Assurbanipal,0x122d2,SHINIG,model,15,0.0015,3,0.5513,0,0,0,1.0,True
Assurbanipal,0x122e8,SUMASH,model,10,0.0039,3,0.5235,0,0,0,1.0,True
Assurbanipal,0x12322,UMBIN,model,20,0.0014,3,0.5236,0,0,2,1.0,True
Assurbanipal,0x1232a,UR SHESHIG,model,10,0.0008,3,0.4489,1,1,0,1.0,True
Assurbanipal,0x1232e,UR2 TIMES AL,model,13,0.0001,3,0.5577,0,1,0,1.0,True
Assurbanipal,0x12335,URI,model,14,0.0006,3,0.5802,0,0,0,1.0,True
Esagil,0x1205b,DAG KISIM5 TIMES GA,model,15,0.0001,3,0.4977,0,1,1,0.15658,True
Esagil,0x12070,DARA3,model,15,0.0001,3,0.4608,0,1,0,0.15657,True
Esagil,0x1207e,DUB,model,8,0.0001,3,0.4676,0,0,0,0.15686,True
Esagil,0x1210a,GIR3,model,6,0.0012,3,0.3579,0,0,1,0.15606,True
Esagil,0x12112,GISH CROSSING GISH,model,6,0.0008,3,0.2991,0,0,0,0.15639,True
Esagil,0x1212b,HA GUNU,model,9,0.0001,3,0.4576,0,0,3,0.15629,True
Esagil,0x12138,HUB2,model,7,0.0003,3,0.3072,1,0,2,0.15658,True
Esagil,0x1213d,HUB2 TIMES UD,model,10,0.0,3,0.3889,1,0,1,0.15676,True
Esagil,0x12145,IG,model,6,0.0014,3,0.3222,0,0,2,0.15579,True
Esagil,0x1214e,IM,model,7,0.0014,3,0.3571,0,0,0,0.15586,True
Esagil,0x1218d,KA2,model,8,0.0005,3,0.372,0,0,2,0.15686,True
Esagil,0x1218f,KAB,model,7,0.0003,3,0.3072,1,0,2,0.15658,True
Esagil,0x12198,KAL TIMES BAD,model,8,0.0002,3,0.4614,1,0,0,0.1562,True
Esagil,0x121c0,LAGAB TIMES BAD,model,6,0.0001,3,0.3511,1,0,0,0.15647,True
Esagil,0x12244,NAGAR & ZA TENU,model,6,0.0004,3,0.368,1,0,1,0.15556,True
Esagil,0x1228a,PIRIG,model,6,0.0012,3,0.3579,0,0,1,0.15606,True
Esagil,0x1228d,PIRIG TIMES ZA,model,8,0.0001,3,0.3706,0,0,1,0.15677,True
Esagil,0x12291,RI,model,5,0.0002,3,0.2337,0,0,3,0.15581,True
Esagil,0x122af,SHA3 TIMES A,model,10,0.0007,3,0.44,0,0,0,0.15551,True
Esagil,0x122cb,SHIM TIMES GAR,model,12,0.0001,3,0.4752,1,0,0,0.15635,True
Esagil,0x122d4,SHIR TENU,model,7,0.0004,3,0.3283,0,0,1,0.15562,True
Esagil,0x122e6,SUHUR,model,13,0.0019,3,0.4606,0,0,1,0.1565,True
Esagil,0x122ed,TA TIMES HI,model,10,0.0049,3,0.4675,0,0,0,0.15576,True
Esagil,0x12314,UD KUSHU2,model,10,0.0005,3,0.4,1,0,2,0.15675,True
Esagil,0x12324,UMUM TIMES KASKAL,model,14,0.0004,3,0.4896,0,1,1,0.15651,True
