font,codepoint,name,in_font_per_metadata
Assurbanipal,0x1230e,U OVER U PA OVER PA GAR OVER GAR,True
Assurbanipal,0x1230f,U OVER U SUR OVER SUR,True
Assurbanipal,0x12315,,True
Assurbanipal,0x12323,UMUM,True
Assurbanipal,0x12325,UMUM TIMES PA,True
Assurbanipal,0x12327,,True
Assurbanipal,0x12329,UR CROSSING UR,True
Assurbanipal,0x1232d,,True
Assurbanipal,0x12333,,True
Assurbanipal,0x12339,,True
Assurbanipal,0x1233b,,True
Assurbanipal,0x1233d,,True
Assurbanipal,0x12343,,True
Assurbanipal,0x12344,,True
Assurbanipal,0x12345,,True
Assurbanipal,0x12346,,True
Assurbanipal,0x12348,,True
Assurbanipal,0x1234a,,True
Assurbanipal,0x12350,URUDA TIMES U,True
Assurbanipal,0x12354,,True
Assurbanipal,0x12356,,True
Assurbanipal,0x12357,USH2,True
Assurbanipal,0x12358,,True
Assurbanipal,0x12359,UTUKI,True
Assurbanipal,0x12361,,True
Assurbanipal,0x12367,ZIB KABA TENU,True
Assurbanipal,0x12369,ZIZ2,True
Assurbanipal,0x1236b,ZU5,True
Assurbanipal,0x1236c,ZU5 TIMES A,True
Assurbanipal,0x1236f,,True
Assurbanipal,0x1237e,,True
Assurbanipal,0x12381,,True
Assurbanipal,0x12382,,True
Assurbanipal,0x12385,,True
Assurbanipal,0x12398,UM TIMES ME,True
Santakku,0x12001,A TIMES A,False
Santakku,0x12002,A TIMES BAD,False
Santakku,0x12003,,False
Santakku,0x12004,A TIMES HA,False
Santakku,0x12005,A TIMES IGI,False
Santakku,0x12006,A TIMES LAGAR GUNU,False
Santakku,0x12007,A TIMES MUSH,False
Santakku,0x12008,A TIMES SAG,False
Santakku,0x1200b,AB TIMES ASH2,False
Santakku,0x1200c,AB TIMES DUN3 GUNU,False
Santakku,0x1200d,AB TIMES GAL,False
Santakku,0x1200e,AB TIMES GAN2 TENU,False
Santakku,0x12010,AB TIMES IGI GUNU,False
Santakku,0x12011,AB TIMES IMIN,False
Santakku,0x12012,AB TIMES LAGAB,False
Santakku,0x12013,AB TIMES SHESH,False
Santakku,0x12017,AB2 TIMES BALAG,False
Santakku,0x12018,AB2 TIMES GAN2 TENU,False
Santakku,0x12019,AB2 TIMES ME PLUS EN,False
Santakku,0x1201a,AB2 TIMES SHA3,False
Santakku,0x1201b,AB2 TIMES TAK4,False
Santakku,0x1201e,AK TIMES ERIN2,False
Santakku,0x1201f,AK TIMES SHITA PLUS GISH,False
Santakku,0x12021,AL TIMES AL,False
Santakku,0x12022,AL TIMES DIM2,False
Santakku,0x12023,AL TIMES GISH,False
Santakku,0x12024,AL TIMES HA,False
Santakku,0x12025,AL TIMES KAD3,False
Santakku,0x12026,AL TIMES KI,False
Santakku,0x12027,AL TIMES SHE,False
Santakku,0x12028,AL TIMES USH,False
Santakku,0x1202e,AN OVER AN,False
Santakku,0x12030,AN PLUS NAGA OPPOSING AN PLUS NAGA,False
Santakku,0x12031,AN PLUS NAGA SQUARED,False
Santakku,0x12035,ARAD TIMES KUR,False
Santakku,0x12036,,False
Santakku,0x12037,ASAL2,False
Santakku,0x1203a,ASH KABA TENU,False
Santakku,0x1203b,ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP,False
Santakku,0x1203c,CUNEIFORM SIGN ASH OVER ASH OVER ASH & TAB,False
Santakku,0x1203d,ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH,False
Santakku,0x12042,,False
Santakku,0x12043,,False
Santakku,0x12045,,False
Santakku,0x1204a,BI TIMES A,False
Santakku,0x1204b,BI TIMES GAR,False
Santakku,0x1204c,BI TIMES IGI GUNU,False
Santakku,0x1204e,BU OVER BU AB,False
Santakku,0x1204f,,False
Santakku,0x12050,BU CROSSING BU,False
Santakku,0x12051,BULUG OVER BULUG,False
Santakku,0x12052,,False
Santakku,0x12054,BUR2,False
Santakku,0x12057,DAG KISIM5 TIMES A PLUS MASH,False
Santakku,0x12058,DAG KISIM5 TIMES AMAR,False
Santakku,0x12059,DAG KISIM5 TIMES BALAG,False
Santakku,0x1205a,DAG KISIM5 TIMES BI,False
Santakku,0x1205b,DAG KISIM5 TIMES GA,False
Santakku,0x1205c,,False
Santakku,0x1205d,DAG KISIM5 TIMES GI,False
Santakku,0x1205e,DAG KISIM5 TIMES GIR2,False
Santakku,0x1205f,DAG KISIM5 TIMES GUD,False
Santakku,0x12060,DAG KISIM5 TIMES HA,False
Santakku,0x12061,DAG KISIM5 TIMES IR,False
Santakku,0x12062,DAG KISIM5 TIMES IR PLUS LU,False
Santakku,0x12063,DAG KISIM5 TIMES KAK,False
Santakku,0x12064,DAG KISIM5 TIMES LA,False
Santakku,0x12065,DAG KISIM5 TIMES LU,False
Santakku,0x12066,DAG KISIM5 TIMES LU PLUS MASH2,False
Santakku,0x12067,DAG KISIM5 TIMES LUM,False
Santakku,0x12068,DAG KISIM5 TIMES NE,False
Santakku,0x12069,DAG KISIM5 TIMES PAP PLUS PAP,False
Santakku,0x1206a,DAG KISIM5 TIMES SI,False
Santakku,0x1206b,DAG KISIM5 TIMES TAK4,False
Santakku,0x1206c,DAG KISIM5 TIMES U2 PLUS GIR2,False
Santakku,0x1206d,DAG KISIM5 TIMES USH,False
Santakku,0x12071,DARA4,False
Santakku,0x12078,CUNEIFORM SIGN DIN KASKAL U GUNU DISH,False
Santakku,0x1207f,,False
Santakku,0x12080,DUB2,False
Santakku,0x12082,DUGUD,False
Santakku,0x12083,DUH,False
Santakku,0x12085,DUN3,False
Santakku,0x1208b,E TIMES PAP,False
Santakku,0x1208c,E OVER E NUN OVER NUN,False
Santakku,0x1208e,,False
Santakku,0x1208f,E2 TIMES GAR,False
Santakku,0x12090,E2 TIMES MI,False
Santakku,0x12091,E2 TIMES SAL,False
Santakku,0x12092,E2 TIMES SCHE(standard),False
Santakku,0x12093,,False
Santakku,0x12098,EN TIMES GAN2,False
Santakku,0x1209a,EN TIMES ME,False
Santakku,0x1209b,EN CROSSING EN,False
Santakku,0x1209c,,False
Santakku,0x1209d,EN SQUARED,False
Santakku,0x120a2,EZEN TIMES A,False
Santakku,0x120a3,EZEN TIMES A PLUS LAL,False
Santakku,0x120a4,EZEN TIMES A PLUS LAL TIMES LAL,False
Santakku,0x120a5,,False
Santakku,0x120a7,,False
Santakku,0x120a8,,False
Santakku,0x120a9,EZEN TIMES HA,False
Santakku,0x120aa,,False
Santakku,0x120ab,EZEN TIMES IGI GUNU,False
Santakku,0x120ac,EZEN TIMES KASKAL,False
Santakku,0x120ad,EZEN TIMES KASKAL SQUARED,False
Santakku,0x120ae,EZEN TIMES KU3,False
Santakku,0x120af,EZEN TIMES LA,False
Santakku,0x120b0,EZEN TIMES LAL TIMES LAL,False
Santakku,0x120b1,EZEN TIMES LI,False
Santakku,0x120b2,EZEN TIMES LU,False
Santakku,0x120b3,EZEN TIMES U2,False
