font,codepoint,name,in_font_per_metadata
Santakku,0x1226c,NUN CROSSING NUN LAGAR OVER LAGAR,False
Santakku,0x1226e,NUNUZ AB2 TIMES ASHGAB,False
Santakku,0x1226f,NUNUZ AB2 TIMES BI,False
Santakku,0x12270,NUNUZ AB2 TIMES DUG,False
Santakku,0x12271,NUNUZ AB2 TIMES GUD,False
Santakku,0x12272,NUNUZ AB2 TIMES IGI GUNU,False
Santakku,0x12273,NUNUZ AB2 TIMES KAD3,False
Santakku,0x12274,NUNUZ AB2 TIMES LA,False
Santakku,0x12275,NUNUZ AB2 TIMES NE,False
Santakku,0x12276,NUNUZ AB2 TIMES SILA3,False
Santakku,0x12277,,False
Santakku,0x12278,NUNUZ KISIM5 TIMES BI,False
Santakku,0x12279,NUNUZ KISIM5 TIMES BI U,False
Santakku,0x12280,PI TIMES A,False
Santakku,0x12281,PI TIMES AB,False
Santakku,0x12282,PI TIMES BI,False
Santakku,0x12283,PI TIMES BU,False
Santakku,0x12284,PI TIMES E,False
Santakku,0x12285,PI TIMES I,False
Santakku,0x12286,PI TIMES IB,False
Santakku,0x12287,PI TIMES U,False
Santakku,0x12288,,False
Santakku,0x12289,PI TIMES U2,False
Santakku,0x1228a,PIRIG,False
Santakku,0x1228b,PIRIG TIMES KAL,False
Santakku,0x1228e,PIRIG OPPOSING PIRIG,False
Santakku,0x12290,RAB,False
Santakku,0x12294,SAG NUTILLU,False
Santakku,0x12296,SAG TIMES A,False
Santakku,0x12297,SAG TIMES DU,False
Santakku,0x12298,,False
Santakku,0x12299,SAG TIMES HA,False
Santakku,0x1229a,SAG TIMES KAK,False
Santakku,0x1229b,,False
Santakku,0x1229c,SAG TIMES LUM,False
Santakku,0x1229d,SAG TIMES MI,False
Santakku,0x1229e,SAG TIMES NUN,False
Santakku,0x1229f,SAG TIMES SAL,False
Santakku,0x122a0,SAG TIMES SHID,False
Santakku,0x122a1,,False
Santakku,0x122a2,SAG TIMES U2,False
Santakku,0x122a3,SAG TIMES UB,False
Santakku,0x122a4,SAG TIMES UM,False
Santakku,0x122a5,SAG TIMES UR,False
Santakku,0x122a6,SAG TIMES USH,False
Santakku,0x122a7,SAG OVER SAG,False
Santakku,0x122aa,SAL LAGAB TIMES ASH2,False
Santakku,0x122ab,,False
Santakku,0x122af,SHA3 TIMES A,False
Santakku,0x122b0,SHA3 TIMES BAD,False
Santakku,0x122b1,SHA3 TIMES GISH,False
Santakku,0x122b2,SHA3 TIMES NE,False
Santakku,0x122b3,SHA3 TIMES SHU2,False
Santakku,0x122b4,SHA3 TIMES TUR,False
Santakku,0x122b5,SHA3 TIMES U,False
Santakku,0x122b6,SHA3 TIMES U PLUS A,False
Santakku,0x122b8,,False
Santakku,0x122bc,SHE OVER SHE GAD OVER GAD GAR OVER GAR,False
Santakku,0x122bd,SHE OVER SHE TAB OVER TAB GAR OVER GAR,False
Santakku,0x122be,SHEG9,False
Santakku,0x122c1,SHESH2 & SUHUR,False
Santakku,0x122c2,SHESHLAM,False
Santakku,0x122c4,SHID TIMES A,False
Santakku,0x122c5,SHID TIMES IM,False
Santakku,0x122c7,SHIM TIMES A,False
Santakku,0x122c8,SHIM TIMES BAL,False
Santakku,0x122c9,SHIM TIMES BULUG,False
Santakku,0x122ca,SHIM TIMES DIN,False
Santakku,0x122cc,SHIM TIMES IGI,False
Santakku,0x122cd,SHIM TIMES IGI GUNU,False
Santakku,0x122ce,SHIM TIMES KUSHU2,False
Santakku,0x122cf,SHIM TIMES LUL,False
Santakku,0x122d0,SHIM TIMES MUG,False
Santakku,0x122d1,SHIM TIMES SAL,False
Santakku,0x122d4,SHIR TENU,False
Santakku,0x122d5,,False
Santakku,0x122d8,,False
Santakku,0x122df,SIG4 OVER SIG4 SHU2,False
Santakku,0x122e3,,False
Santakku,0x122e5,SUD2,False
Santakku,0x122e6,SUHUR,False
Santakku,0x122e8,SUMASH,False
Santakku,0x122ea,SUR9,False
Santakku,0x122ec,TA ASTERISK,False
Santakku,0x122ee,TA TIMES MI,False
Santakku,0x122ef,TA GUNU,False
Santakku,0x122f1,TAB OVER TAB NI OVER NI DISH OVER DISH,False
Santakku,0x122f2,TAB SQUARED,False
Santakku,0x122f4,,False
Santakku,0x122f5,TAG TIMES GUD,False
Santakku,0x122f6,,False
Santakku,0x122f7,TAG TIMES SHU,False
Santakku,0x122f8,TAG TIMES TUG2,False
Santakku,0x122f9,TAG TIMES UD,False
Santakku,0x122fd,TE GUNU,False
Santakku,0x122ff,,False
Santakku,0x12300,TIL,False
Santakku,0x12302,,False
Santakku,0x12303,TIR OVER TIR,False
Santakku,0x12304,TIR OVER TIR GAD OVER GAD GAR OVER GAR,False
Santakku,0x1230a,TUR OVER TUR ZA OVER ZA,False
Santakku,0x1230e,U OVER U PA OVER PA GAR OVER GAR,False
Santakku,0x1230f,U OVER U SUR OVER SUR,False
Santakku,0x12310,U OVER U U REVERSED OVER U REVERSED,False
Santakku,0x12315,,False
Santakku,0x12316,UD TIMES MI,False
Santakku,0x12317,UD TIMES U PLUS U PLUS U,False
Santakku,0x12319,UD GUNU,False
Santakku,0x1231b,UD SHESHIG TIMES BAD,False
Santakku,0x1231c,UDUG,False
Santakku,0x1231e,,False
Santakku,0x1231f,UM TIMES ME PLUS DA,False
Santakku,0x12320,,False
Santakku,0x12321,UM TIMES U,False
Santakku,0x12323,UMUM,False
Santakku,0x12325,UMUM TIMES PA,False
Santakku,0x12327,,False
Santakku,0x12329,UR CROSSING UR,False
Santakku,0x1232a,UR SHESHIG,False
Santakku,0x1232c,UR2 TIMES A PLUS HA,False
Santakku,0x1232d,,False
Santakku,0x1232e,UR2 TIMES AL,False
Santakku,0x1232f,UR2 TIMES HA,False
Santakku,0x12330,UR2 TIMES NUN,False
Santakku,0x12331,UR2 TIMES U2,False
Santakku,0x12332,UR2 TIMES U2 PLUS ASH,False
Santakku,0x12333,,False
Santakku,0x12336,URI3,False
Santakku,0x12338,URU TIMES A,False
Santakku,0x12339,,False
Santakku,0x1233b,,False
Santakku,0x1233c,URU TIMES GA,False
Santakku,0x1233d,,False
Santakku,0x1233e,URU TIMES GAN2 TENU,False
Santakku,0x1233f,URU TIMES GAR,False
Santakku,0x12340,URU TIMES GU,False
Santakku,0x12341,URU TIMES HA,False
Santakku,0x12343,,False
Santakku,0x12344,,False
Santakku,0x12345,,False
Santakku,0x12346,,False
Santakku,0x12348,,False
Santakku,0x12349,,False
Santakku,0x1234a,,False
Santakku,0x1234b,URU TIMES TU,False
Santakku,0x1234c,URU TIMES U PLUS GUD,False
Santakku,0x1234d,URU TIMES UD,False
Santakku,0x12350,URUDA TIMES U,False
Santakku,0x12352,USH TIMES A,False
Santakku,0x12353,USH TIMES KU,False
Santakku,0x12354,,False
Santakku,0x12355,USH TIMES TAK4,False
Santakku,0x12356,,False
Santakku,0x12357,USH2,False
Santakku,0x12358,,False
Santakku,0x12359,UTUKI,False
Santakku,0x1235b,UZ3 TIMES KASKAL,False
Santakku,0x1235e,ZA TENU,False
Santakku,0x1235f,ZA SQUARED TIMES KUR,False
Santakku,0x12361,,False
Santakku,0x12365,ZI3,False
Santakku,0x12366,ZIB,False
Santakku,0x12367,ZIB KABA TENU,False
Santakku,0x12368,ZIG,False
Santakku,0x12369,ZIZ2,False
Santakku,0x1236b,ZU5,False
Santakku,0x1236c,ZU5 TIMES A,False
Santakku,0x1236d,ZUBUR,False
Santakku,0x1236f,,False
Santakku,0x12370,,False
Santakku,0x12371,AB2 TIMES A,False
Santakku,0x12372,,False
Santakku,0x12373,,False
Santakku,0x12374,,False
Santakku,0x12375,DISH PLUS SHU,False
Santakku,0x12376,,False
Santakku,0x12377,,False
Santakku,0x12378,,False
Santakku,0x12379,,False
Santakku,0x1237a,,False
Santakku,0x1237b,GE22,False
Santakku,0x1237d,SIGN HUSH,False
Santakku,0x1237e,,False
Santakku,0x1237f,,False
Santakku,0x12380,KA TIMES GISH,False
Santakku,0x12381,,False
Santakku,0x12382,,False
Santakku,0x12383,,False
Santakku,0x12384,KA TIMES PA,False
Santakku,0x12385,,False
Santakku,0x12386,KA TIMES TU,False
Santakku,0x12387,KA TIMES UR2,False
Santakku,0x12388,LAGAB TIMES GI,False
Santakku,0x12389,,False
Santakku,0x1238a,,False
Santakku,0x1238b,,False
Santakku,0x1238d,,False
Santakku,0x12390,,False
Santakku,0x12391,NINDA2 TIMES BAL,False
Santakku,0x12392,NINDA2 TIMES GI,False
Santakku,0x12393,,False
Santakku,0x12394,,False
Santakku,0x12395,,False
Santakku,0x12396,,False
Santakku,0x12397,SIGN TI2,False
Santakku,0x12398,UM TIMES ME,False
Santakku,0x12399,U U,False
