hex,NotoSansCuneiform-Regular,Santakku,SantakkuM,Esagil,CuneiformOB,CuneiformNA,Assurbanipal,CuneiformComposite,name
0x12070,True,True,False,True,True,True,True,True,DARA3
0x12071,True,False,False,True,True,True,True,True,DARA4
0x12072,True,True,True,True,True,True,True,True,DI
0x12073,True,True,True,True,True,True,True,True,DIB
0x12074,True,True,True,True,True,True,True,True,DIM
0x12075,True,True,False,True,True,True,True,True,DIM TIMES SHE
0x12076,True,True,True,True,True,True,True,True,DIM2
0x12077,True,True,True,True,True,True,True,True,DIN
0x12078,True,False,False,True,True,False,True,True,CUNEIFORM SIGN DIN KASKAL U GUNU DISH
0x12079,True,True,True,True,True,True,True,True,DISH
0x1207a,True,True,True,True,True,True,True,True,DU
0x1207b,True,True,False,True,True,True,True,True,DU OVER DU
0x1207c,True,True,True,True,True,True,True,True,DU GUNU
