font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes,source
Esagil,0x12352,USH TIMES A,0.0003,9,1,,,model
Esagil,0x1235a,UZ3,0.0,9,1,,,model
Esagil,0x1235e,ZA TENU,0.0,4,1,,,model
Esagil,0x12360,ZAG,0.0,8,1,,,model
Esagil,0x12363,ZI,0.0001,7,1,,,model
Esagil,0x1236a,ZU,0.0003,5,1,,,model
Esagil,0x1238f,,0.0022,10,1,,,model
Esagil,0x1240f,,0.0003,4,1,,,model
Esagil,0x1244c,,0.0,4,1,,,model
Assurbanipal,0x1205f,DAG KISIM5 TIMES GUD,0.0142,16,5,,,model
Assurbanipal,0x120c8,GA2 TIMES EL PLUS LA,0.0052,18,3,,,model
Assurbanipal,0x121a3,KI TIMES UD,0.0119,10,3,,,model
Assurbanipal,0x121c2,LAGAB TIMES DAR,0.0113,12,3,,,model
Assurbanipal,0x12377,,0.0095,14,3,,,model
Assurbanipal,0x12019,AB2 TIMES ME PLUS EN,0.0079,10,2,,,model
Assurbanipal,0x12060,DAG KISIM5 TIMES HA,0.0099,16,2,,,model
Assurbanipal,0x12064,DAG KISIM5 TIMES LA,0.0114,16,2,,,model
Assurbanipal,0x120a4,EZEN TIMES A PLUS LAL TIMES LAL,0.0073,16,2,,,model
Assurbanipal,0x120b4,EZEN TIMES UD,0.0077,12,2,,,model
Assurbanipal,0x120cd,GA2 TIMES GI,0.0138,12,2,,,model
Assurbanipal,0x120d3,GA2 TIMES HAL PLUS LA,0.0067,12,2,,,model
Assurbanipal,0x120eb,GA2 TIMES UD,0.0063,8,2,,,model
Assurbanipal,0x121d9,LAGAB TIMES ME PLUS EN,0.0059,11,2,,,model
Assurbanipal,0x121da,LAGAB TIMES MUSH,0.0053,13,2,,,model
Assurbanipal,0x12297,SAG TIMES DU,0.0093,12,2,,,model
Assurbanipal,0x122c8,SHIM TIMES BAL,0.0065,15,2,,,model
Esagil,0x12072,DI,0.0134,6,2,,,model
Esagil,0x12240,NAGA,0.007,9,2,,,model
Assurbanipal,0x12070,DARA3,0.0065,12,1,,,model
Assurbanipal,0x120e1,GA2 TIMES NUN OVER NUN,0.0056,15,1,,,model
Assurbanipal,0x12113,GISH TIMES BAD,0.0066,5,1,,,model
Assurbanipal,0x121c7,LAGAB TIMES GUD PLUS GUD,0.0056,15,1,,,model
Assurbanipal,0x121e9,LAGAB TIMES UD,0.0101,7,1,,,model
Assurbanipal,0x12232,MUSH,0.0077,9,1,,,model
Assurbanipal,0x1229f,SAG TIMES SAL,0.01,11,1,,,model
Assurbanipal,0x122cc,SHIM TIMES IGI,0.0122,12,1,,,model
Assurbanipal,0x122d2,SHINIG,0.0076,15,1,,,model
Assurbanipal,0x122e4,SUD,0.0061,8,1,,,model
Assurbanipal,0x12380,KA TIMES GISH,0.0126,10,1,,,model
Assurbanipal,0x12389,,0.0064,14,1,,,model
Esagil,0x12077,DIN,0.0114,3,1,,,model
Esagil,0x1212e,HI TIMES ASH,0.0146,5,1,,,model
Esagil,0x121b2,KUN,0.0061,11,1,,,model
Esagil,0x121f5,LAM TIMES KUR,0.0069,9,1,,,model
Esagil,0x1223e,NAA,0.0091,4,1,,,model
Esagil,0x12317,UD TIMES U PLUS U PLUS U,0.0088,7,1,,,model
Esagil,0x1231a,UD SHESHIG,0.0088,7,1,,,model
Esagil,0x12337,URU,0.0116,5,1,,,model
Esagil,0x12362,ZE2,0.0062,8,1,,,model
Esagil,0x12449,,0.0114,3,1,,,model
Esagil,0x12452,,0.0128,5,1,,,model
Assurbanipal,0x12379,,0.0217,14,4,,,model
Assurbanipal,0x120e4,GA2 TIMES SAR,0.017,14,3,,,model
Assurbanipal,0x12166,KA TIMES GAR PLUS SHA3 PLUS A,0.0176,19,3,,,model
Assurbanipal,0x122cf,SHIM TIMES LUL,0.0224,16,3,,,model
Assurbanipal,0x1209e,EREN,0.0214,17,2,,,model
Assurbanipal,0x120e0,GA2 TIMES NUN,0.0193,10,2,,,model
Assurbanipal,0x12168,KA TIMES GIR2,0.021,13,2,,,model
Assurbanipal,0x121cc,LAGAB TIMES IM,0.0228,11,2,,,model
Esagil,0x12322,UMBIN,0.0231,17,2,,,model
Assurbanipal,0x1207d,DU SHESHIG,0.0152,9,1,,,model
Assurbanipal,0x12081,DUG,0.0222,7,1,,,model
Assurbanipal,0x120c6,GA2 TIMES DUB,0.0192,13,1,,,model
Assurbanipal,0x1218b,KA TIMES USH,0.0222,12,1,,,model
Assurbanipal,0x12190,KAD2,0.0248,4,1,,,model
Assurbanipal,0x121f3,LAL TIMES LAL,0.0206,4,1,,,model
Esagil,0x12019,AB2 TIMES ME PLUS EN,0.0173,10,1,,,model
