font,codepoint,name,source,n_wedges,confidence,doubtful_wedges,mean_wedge_confidence,rare_orientation_wedges,off_ink_tails,clamped_wedges,scale,in_font_per_metadata
Assurbanipal,0x12121,GUD OVER GUD LUGAL,model,22,0.0004,3,0.7436,0,0,0,1.0,True
Assurbanipal,0x1213e,HUL2,model,10,0.0,3,0.604,3,2,0,1.0,True
Assurbanipal,0x12150,IM CROSSING IM,model,14,0.0001,3,0.5891,0,1,0,1.0,True
Assurbanipal,0x1217a,KA TIMES NE,model,16,0.0005,3,0.669,0,0,0,1.0,True
Assurbanipal,0x1217f,KA TIMES SAR,model,16,0.0002,3,0.6967,0,1,0,1.0,True
Assurbanipal,0x1219b,KAM4,model,14,0.0006,3,0.5896,1,0,0,1.0,True
Assurbanipal,0x121a9,KISIM5 OVER KISIM5,model,8,0.0,3,0.4597,2,1,0,1.0,True
Assurbanipal,0x121ca,LAGAB TIMES HI TIMES NUN,model,13,0.0001,3,0.6428,0,0,0,1.0,True
Assurbanipal,0x12210,LU2 TIMES TUG2,model,16,0.0001,3,0.6736,0,1,0,1.0,True
Assurbanipal,0x1222d,MU OVER MU,model,10,0.0001,3,0.5375,0,0,0,1.0,True
Assurbanipal,0x1224b,NE SHESHIG,model,11,0.0,3,0.5641,2,0,0,1.0,True
Assurbanipal,0x12266,NUN LAGAR TIMES SAL,model,13,0.0,3,0.6689,0,1,0,1.0,True
Assurbanipal,0x12270,NUNUZ AB2 TIMES DUG,model,18,0.0002,3,0.7285,1,1,0,1.0,True
Assurbanipal,0x12278,NUNUZ KISIM5 TIMES BI,model,17,0.0,3,0.6837,2,0,0,1.0,True
Assurbanipal,0x122aa,SAL LAGAB TIMES ASH2,model,12,0.0,3,0.647,0,2,0,1.0,True
Assurbanipal,0x122cb,SHIM TIMES GAR,model,13,0.0004,3,0.5697,1,2,0,1.0,True
Assurbanipal,0x122d0,SHIM TIMES MUG,model,13,0.0003,3,0.5797,1,0,0,1.0,True
Assurbanipal,0x122d4,SHIR TENU,model,5,0.0012,3,0.367,0,0,0,1.0,True
Assurbanipal,0x122de,SIG4,model,11,0.0,3,0.5865,0,0,0,1.0,True
Assurbanipal,0x12303,TIR OVER TIR,model,28,0.0008,3,0.7631,0,0,0,1.0,True
Assurbanipal,0x1230a,TUR OVER TUR ZA OVER ZA,model,20,0.0017,3,0.6655,0,0,0,1.0,True
Assurbanipal,0x12322,UMBIN,model,20,0.0012,3,0.6858,0,0,2,1.0,True
Assurbanipal,0x12324,UMUM TIMES KASKAL,model,14,0.0002,3,0.5706,0,0,0,1.0,True
Assurbanipal,0x12336,URI3,model,13,0.0001,3,0.6808,2,0,0,1.0,True
Assurbanipal,0x1234b,URU TIMES TU,model,12,0.0001,3,0.6411,0,1,0,1.0,True
Assurbanipal,0x12372,,model,10,0.0049,3,0.6383,2,1,0,1.0,True
Assurbanipal,0x12383,,model,14,0.0,3,0.6609,0,0,0,1.0,True
Assurbanipal,0x1238a,,model,18,0.0003,3,0.7183,0,1,0,1.0,True
Assurbanipal,0x12391,NINDA2 TIMES BAL,model,11,0.0,3,0.6019,0,0,0,1.0,True
Assurbanipal,0x12393,,model,6,0.0003,3,0.3572,0,0,0,1.0,True
Esagil,0x1200f,AB TIMES HA,model,11,0.0,3,0.6223,0,0,0,0.15686,True
Esagil,0x1201a,AB2 TIMES SHA3,model,9,0.0011,3,0.5249,0,0,0,0.15596,True
Esagil,0x1202c,AMAR TIMES SHE,model,9,0.0001,3,0.437,2,1,0,0.15588,True
Esagil,0x12088,DUN4,model,15,0.0002,3,0.703,2,0,0,0.15586,True
Esagil,0x120e3,GA2 TIMES SAL,model,9,0.0013,3,0.5515,0,0,0,0.15677,True
Esagil,0x120fd,GASHAN,model,6,0.0002,3,0.3515,0,1,0,0.15704,True
Esagil,0x12103,GI CROSSING GI,model,10,0.0,3,0.5449,1,1,0,0.156,True
Esagil,0x12107,GIDIM,model,11,0.0001,3,0.6031,0,0,0,0.15634,True
Esagil,0x1210b,GIR3 TIMES A PLUS IGI,model,12,0.0,3,0.6698,0,1,0,0.15656,True
Esagil,0x12124,GUM TIMES SHE,model,11,0.0004,3,0.493,1,1,0,0.15581,True
Esagil,0x12164,KA TIMES GAN2 TENU,model,13,0.0003,3,0.6567,0,0,0,0.156,True
Esagil,0x1223b,MUSH3 TIMES A PLUS DI,model,14,0.0,3,0.6262,0,0,0,0.15645,True
Esagil,0x122c0,SHESH,model,7,0.0004,3,0.5127,0,1,0,0.15587,True
Esagil,0x1230c,U GUD,model,6,0.0,3,0.4115,2,1,0,0.15603,True
